"Customer #","Name","Account Number","Sales Rep","Account Type","Transfer Status","Original Owner","Copper ID"
"494","#1 Tobacco","","Ben Wallner","Wholesale","","BenW","70961229"
"1732","118 FULTON ST CONVENIENCE","","ShipStation","Wholesale","","ShipStation","74438025"
"1454","2 Brother Novelties","","JaredM","Wholesale","","Unassigned","72775514"
"1809","2 Chick and a Head Shop","","Derek Whitworth","Wholesale","","JSimmons","74820894"
"681","20 tobacco & vapor LLC","","Unassigned","Wholesale","","Jared","72775870"
"1642","21 Plus Smoke Shop","","Derek Whitworth","Wholesale","","DerekW","72395766"
"1872","24 Stop Smokeshop","","Jared Leuzinger","Wholesale","","Jared","74110309"
"1336","24/7 Tobacco & Convenience Store","","Derek Whitworth","Wholesale","","JSimmons","72775871"
"1817","2578 BROADWAY GIFT SHOP","","Derek Whitworth","Wholesale","","ShipStation","74820900"
"786","2nd Street Market","","Unassigned","Wholesale","","admin","74437752"
"820","3 Monkeys Vape and Smoke #1 Roseville","","Unassigned","Wholesale","","admin","72775518"
"889","3 Monkeys Vape and Smoke #10","","Unassigned","Wholesale","","admin","72775519"
"890","3 Monkeys Vape and Smoke #11","","Unassigned","Wholesale","","admin","72775520"
"891","3 Monkeys Vape and Smoke #13","","Unassigned","Wholesale","","admin","72775521"
"887","3 Monkeys Vape and Smoke #2","","Unassigned","Wholesale","","admin","72775522"
"888","3 Monkeys Vape and Smoke #6","","Unassigned","Wholesale","","admin","72775523"
"821","3 Monkeys Vape and Smoke #8 Sac","","Unassigned","Wholesale","","admin","72775524"
"1565","309 Swift Shop","","Derek Whitworth","Wholesale","","DerekW","71978693"
"92","36 Circles LLC","","Unassigned","Wholesale","","admin","72775525"
"431","360 Smoke Shop","","Jared Leuzinger","Wholesale","","Jared","72775526"
"449","37 Smoke Shop","","Derek Whitworth","Wholesale","","DerekW","72775527"
"1523","3rd Eye | SD","","Brandon Good","Wholesale","","BrandonG","71779914"
"427","420 Friendlys CBD and Kratom shop","","Brandon Good","Wholesale","","BrandonG","72775876"
"1176","420 SMOKE SHOP","","Ben Wallner","Wholesale","","DerekW","72898697"
"1102","420 Smoke Shop | TN","","Unassigned","Wholesale","","BrandonG","72775877"
"1707","4twenty Distro","","Derek Whitworth","Wholesale","","DerekW","73031404"
"1405","5 Star Smoke","","Zalak Zaveri","Wholesale","","JSimmons","72775878"
"1281","5 Star Tobacco & Vapor Smoke Shop","","Unassigned","Wholesale","","JSimmons","72775879"
"1858","505 Vape World","","Jared Leuzinger","Wholesale","","Jared","74820914"
"1217","540 smoke and vape","","Zalak Zaveri","Wholesale","","Kevin","74820850"
"1218","540 smoke and vape/dean","","Unassigned","Wholesale","","Unassigned","72775533"
"758","55 tobacco & vape","","Zalak Zaveri","Wholesale","","Sergio","72196358"
"1308","7 Cities Tobacco and Vape","","Unassigned","Wholesale","","JSimmons","72775880"
"1238","7 eleven 17234","","Ben Wallner","Wholesale","","BenW","72775535"
"1237","7 eleven 39207","","Jared Leuzinger","Wholesale","","BenW","72189386"
"1743","7 LUCKY FOOD MART","","Unassigned","Wholesale","","ShipStation","74438043"
"492","7-11 Las Vegas - Store # 17262 - Aman","","Unassigned","Wholesale","","admin","72775515"
"452","7-11 Las Vegas - Store # 29967- Pal","","admin","Wholesale","","admin","72775516"
"488","7-11 Las Vegas - Store # 38994 - Farhood","","Unassigned","Wholesale","","admin","72775528"
"720","777 highway llc","","Sergio","Distributor","","Shane-Inactive","72196353"
"1931","789 Smokeshop (WY)","","Brandon Good","Wholesale","","BrandonG","74820926"
"653","7th Avenue Smoke Shop","","JaredM","Wholesale","","Tates","72775539"
"403","82ND AVE TOBACCO & PIPE","","Jared Leuzinger","Wholesale","","BenW","72189438"
"1730","88 NASSAU MINI MARKET","","ShipStation","Wholesale","","ShipStation","74438023"
"262","A & I Family Wholesale","","Unassigned","Distributor","","DerekW","72775540"
"1893","A One Sales LLC","","Ben Wallner","Distributor","","BenW","73990364"
"1483","A Puff Above","","Joe Simmons","Wholesale","","JSimmons","71521928"
"1532","A to Z Smoke & Convenience","","Derek Whitworth","Wholesale","","DerekW","71649109"
"476","A to Z- Wholesale - ED","","Robert Farias","Distributor","","admin","72775541"
"1780","A Tobacco & Vape LLC","","Derek Whitworth","Wholesale","","DerekW","73383648"
"1782","A Vape Escape","","Jared Leuzinger","Wholesale","","Jared","74820886"
"567","A&H smoke and vape","","JaredM","Wholesale","","Sergio","72196317"
"1806","A&N Smoke Shop","","JaredM","Wholesale","","Jared","73565695"
