Issued date,Account ID,Bill_to_name,Billing Address,Bill_to_city,Billing State,Bill_to_zip,Customer Name,Default_salesman,Product_id,Product,Sales order Number,So_status,Sales person,So c1,So_c2,So_c3,So_c4,So_c5,So_c6,Sales Order ID,Soitem_id,Soitem_product_number,Customer ID,Product_description,Sales Order Item Description,Soitem_type,BOL,Carrier_name,Company_id,Company_name,Ship_status,Sales_order_number,Status ID,Salesmaninitials,Fulfilled Quantity,Last_unitprice,So_ct,Unitprice,Total price,Total cost,Sales Order Line Item
01-01-2026,1743,7 LUCKY FOOD MART,"612 SE 223RD AVE
IN STORE",GRESHAM,Oregon,97030-2510,7 LUCKY FOOD MART,,204,KB-3003,#0A5PI616B625OB,Fulfilled,ShipStation,,,,,,,25111,"75,986",KB-3003,1518,Mango-Tango 12pk,Mango-Tango 12pk,Sale,228626,Will Call,1,CWL Brands,Shipped,#0A5PI616B625OB,30,,2.00,$72.0000,1.00,$59.88,$119.76,$34.47,1.00
01-01-2026,1194,Supreme Glass Wholesale Inc,"1525 S Baker Ave, Unit B",Ontario,California,91761,Supreme Glass Wholesale Inc,Shane Hymas,206,KB-4000,10072,Fulfilled,Shane-Inactive,,,,,,,25120,"76,011",KB-4000,1030,Focus MC12,Focus MC12,Sale,229180,UPS,1,CWL Brands,Shipped,10072,30,SH,55.00,$576.0000,1.00,$576.00,"$31,680.00","$12,085.24",1.00
01-01-2026,1194,Supreme Glass Wholesale Inc,"1525 S Baker Ave, Unit B",Ontario,California,91761,Supreme Glass Wholesale Inc,Shane Hymas,11,Shipping,10072,Fulfilled,Shane-Inactive,,,,,,,25120,"76,314",Shipping,1030,Shipping,Shipping Tracking: https://www.saia.com/track/details;pro=77121405720,Shipping,229180,UPS,1,CWL Brands,Shipped,10072,30,SH,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,2.00
01-02-2026,204,Durity Distro,"2623 s Fry st, Unit 154",Boise,Idaho,83709,Durity Distro,,206,KB-4000,10074,Fulfilled,admin,,,,,,,25132,"76,040",KB-4000,92,Focus MC12,Focus MC12,Sale,229043,UPS,1,CWL Brands,Shipped,10074,30,ADM,112.00,$576.0000,2.00,$576.00,"$64,512.00","$24,913.95",2.00
01-02-2026,204,Durity Distro,"2623 s Fry st, Unit 154",Boise,Idaho,83709,Durity Distro,,11,Shipping,10074,Fulfilled,admin,,,,,,,25132,"76,258",Shipping,92,Shipping,Shipping Tracking: WILL CALL,Shipping,229043,UPS,1,CWL Brands,Shipped,10074,30,ADM,2.00,$0.0000,2.00,$0.00,$0.00,$0.00,4.00
01-02-2026,451,Inderbitzin Distributors,901 Valley Ave NW,Puyallup,Washington,98371,Inderbitzin Distributors,,206,KB-4000,10075,Fulfilled,admin,,,,,,,25133,"76,041",KB-4000,294,Focus MC12,Focus MC12,Sale,229210,UPS,1,CWL Brands,Shipped,10075,30,ADM,42.00,$576.0000,1.00,$576.00,"$24,192.00","$9,228.73",1.00
01-02-2026,451,Inderbitzin Distributors,901 Valley Ave NW,Puyallup,Washington,98371,Inderbitzin Distributors,,194,KB-4001,10075,Fulfilled,admin,,,,,,,25133,"76,042",KB-4001,294,Release + Relax MC (12 boxes),Release + Relax MC (12 boxes),Sale,229210,UPS,1,CWL Brands,Shipped,10075,30,ADM,2.00,$651.0000,1.00,$576.00,"$1,152.00",$350.39,2.00
01-02-2026,451,Inderbitzin Distributors,901 Valley Ave NW,Puyallup,Washington,98371,Inderbitzin Distributors,,197,KB-4002,10075,Fulfilled,admin,,,,,,,25133,"76,043",KB-4002,294,Zoom MC (12 boxes),Zoom MC (12 boxes),Sale,229210,UPS,1,CWL Brands,Shipped,10075,30,ADM,12.00,$504.0000,1.00,$423.36,"$5,080.32","$1,431.68",3.00
01-02-2026,451,Inderbitzin Distributors,901 Valley Ave NW,Puyallup,Washington,98371,Inderbitzin Distributors,,11,Shipping,10075,Fulfilled,admin,,,,,,,25133,"76,315",Shipping,294,Shipping,Shipping Tracking: https://www.saia.com/track/details;pro=77121413560,Shipping,229210,UPS,1,CWL Brands,Shipped,10075,30,ADM,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,4.00
01-02-2026,499,CHESTNUT CONVENIENT FOOD MART/ELYRIA,"38535 Chestnut Ridge Rd
IN STORE",Elyria,Ohio,44035,Rep Rally,,207,KB-3000,10073,Fulfilled,Commerce,,,,,22174,22174,25126,"76,145",KB-3000,342,Focus+Flow 12PK,Focus+Flow 12PK,Sale,228640,UPS,1,CWL Brands,Shipped,10073,30,,2.00,$60.0000,1.00,$60.00,$120.00,$10.49,1.00
