"PRO#","BOL#","CHKDGT","EXTRABOL#","SHIP#","EXTRASN#","PO#","EXTRAPO#","ONTIME","LATEPICKUP","APPT","ACCESSORIALS","CARGO#","PIECES","HAZARD","NETCHG","COD$","DISCOUNT$","CHARGES$","TERMS","PDATE","PARRTIME","PDPTTIME","SCODE","SNAME","SADDR","SCITY","SSTATE","SZIP","CCODE","CNAME","CADDR","CCITY","CSTATE","CZIP","BNAME","BADDR","BCITY","BSTATE","BZIP","FPARTNER","TPARTNER","DELAPPTDATE","DELAPPTTIME","RADFROMDATE","RADTOTDATE","DELDATE","DELTIME","TIMEARRIVE","TIMEDEPART","WEIGHT","SIGNATURE","WGTAVGCLS","ACTUALDAYS","STANDARDDAYS","TRAILER","CURRENTSTATUS","ORIGINTERMINAL","DESTTERMINAL","FUELSURCHARGE","ESTDELDATE","SHPRSTORENUM","CONSSTORENUM","CUBICFEET"
"77119539740","NS","4","","NS","","NS","","Y","N","N","Y","","1","","260.10",".00","742.31","972.41","PPD","11/26/25","1351","1408","1205350","C W L BRANDS","646 N FIVE MILE RD","BOISE","ID","83704","N/A","WILD SIDE FORT COLLINS- FC(CO)","644 S. COLLEGEAVE","FORT COLLINS","CO","80524","","","","","","","","N/A","0","N/A","N/A","12/08/25","1302","1302","1304","350","Received by-Jenna","70.0","3","3","489939","Delivered","BOI","CYN","56.60","N/A","","","0"
"77120350610","NS","3","","NS","","NS","","Y","N","N","Y","","1","","225.99",".00","784.52","953.01","PPD","12/11/25","1348","1356","1205350","C W L BRANDS","646 N FIVE MILE RD","BOISE","ID","83704","N/A","VIP VAPE STORE","826 2ND ST","SAN RAFAEL","CA","94901","","","","","","","","N/A","0","N/A","N/A","12/16/25","1751","1751","1758","550","Received by-Malia nims","70.0","2","2","298559","Delivered","BOI","SRO","39.99","N/A","","","0"
"77120414210","NS","0","","NS","","NS","","Y","N","Y","N","","1","","222.25",".00","432.85","655.10","PPD","12/12/25","1246","1256","1205350","C W L BRANDS","646 N FIVE MILE RD","BOISE","ID","83704","N/A","UNO WIRELESS DISTRIBUTION LLC","794 S 6400 W","SALT LAKE CITY","UT","84104","","","","","","","","12/15/25","800","N/A","N/A","12/15/25","800","800","810","1350","Received by-DANIEL NELSON","70.0","1","1","","Delivered","BOI","SLC","52.75","12/15/25","","","0"
"77120816800","NS","2","","NS","","NS","","Y","N","N","Y","","1","","141.34",".00",".00","33.34","PPD","12/17/25","1152","0","1205350","C W L BRANDS","646 N FIVE MILE RD","BOISE","ID","83704","N/A","SAIA MOTOR FREIGHT","665 W. AMITY ROAD","BOISE","ID","83705","","","","","","","","N/A","0","N/A","N/A","N/A","0","0","0","1000","","100.0","1","1","","Arrived at destination terminal","BOI","BOI","33.34","N/A","","","0"
"77121013600","NS","5","","NS","","NS","","Y","N","N","Y","","1","","186.39",".00","1810.78","1967.17","PPD","12/23/25","1034","1040","1205350","C W L BRANDS","646 N FIVE MILE RD","BOISE","ID","83704","N/A","WILD SIDE NASHUA - NS (NH)","483 AMHERST ST","NASHUA","NH","03063","","","","","","","","N/A","0","N/A","N/A","01/06/26","1331","1331","1342","300","Received by-Kaya","70.0","5","5","487520","Delivered","BOI","CND","36.89","N/A","","","0"
"77121035520","NS","6","","NS","","NS","","Y","N","N","N","","1","","203.50",".00","762.65","966.15","PPD","12/23/25","1308","1326","1205350","C W L BRANDS","646 N FIVE MILE RD","BOISE","ID","83704","N/A","HAWK DISTRO","3065 E PATRICK LN","LAS VEGAS","NV","89120","","","","","","","","N/A","0","N/A","N/A","12/30/25","859","859","912","1230","Received by-Lovejoy","70.0","2","2","487727","Delivered","BOI","LVS","48.00","N/A","","","0"
"77121036160","NS","0","","NS","","NS","","Y","N","N","N","","1","","552.78",".00","8377.34","8930.12","PPD","12/23/25","1308","1326","1205350","C W L BRANDS","646 N FIVE MILE RD","BOISE","ID","83704","1195766","MIRACLE DISTRIBUTOR","774 AMERICAN DR","BENSALEM","PA","19020","","","","","","","","N/A","0","N/A","N/A","01/02/26","1135","1135","1136","2570","Received by-J.Patel","70.0","3","5","480208","Delivered","BOI","PHI","130.39","N/A","","","0"
"77121040260","NS","4","","NS","","NS","","Y","N","N","Y","","1","","461.54",".00","4062.56","4456.60","PPD","12/23/25","1308","1326","1205350","C W L BRANDS","646 N FIVE MILE RD","BOISE","ID","83704","N/A","ALLEGRIA NOVELTIES","1200 ANDERSON DR","SUISUN CITY","CA","94585","","","","","","","","N/A","0","N/A","N/A","12/30/25","1653","1653","1723","2400","Received by-Jo","70.0","2","2","489218","Delivered","BOI","SAC","92.95","N/A","","","0"
"77121050390","NS","2","","NS","","NS","","Y","N","N","N","","1","","301.79",".00","3626.70","3928.49","PPD","12/29/25","1357","1415","1205350","C W L BRANDS","646 N FIVE MILE RD","BOISE","ID","83704","N/A","NIMBUS WHOLESALE","5005 WASHINGTON ST.","DENVER","CO","80216","","","","","","","","N/A","0","N/A","N/A","12/31/25","908","908","912","2400","Received by-Marcos antuna","70.0","2","2","536577","Delivered","BOI","DEN","70.30","N/A","","","0"
"77121061160","NS","1","","NS","","NS","","Y","N","N","N","","3","","1064.56",".00","16195.25","17259.81","PPD","12/29/25","1357","1415","1205350","C W L BRANDS","646 N FIVE MILE RD","BOISE","ID","83704","N/A","SILK ROAD DISTRO","1440 LANDMEIER ROAD","ELK GROVE VILLAGE","IL","60007","","","","","","","","N/A","0","N/A","N/A","01/05/26","1315","1315","1324","7200","Received by-WASCEM","69.9","3","4","536857","Delivered","BOI","GLK","247.99","N/A","","","0"
