"Customer #","Name","Address","City","State","Zip","Sales Rep","Account Type"
"494","#1 Tobacco","undefined","Port Orchard","WA","undefined","Ben Wallner","Wholesale"
"1732","118 FULTON ST CONVENIENCE","undefined","NEW YORK","New York","undefined","ShipStation","Wholesale"
"1454","2 Brother Novelties","undefined","Bullhead City","AZ","undefined","Jared Leuzinger","Wholesale"
"1809","2 Chick and a Head Shop","undefined","Ozark","Missouri","undefined","Joe Simmons","Retail"
"681","20 tobacco & vapor LLC","undefined","Lexington","SC","undefined","Jared","Wholesale"
"1642","21 Plus Smoke Shop","undefined","Quincy","Massachusetts","undefined","Derek Whitworth","Wholesale"
"1872","24 Stop Smokeshop","undefined","Waco","Texas","undefined","Jared Leuzinger","Wholesale"
"1336","24/7 Tobacco & Convenience Store","undefined","Washington","DC","undefined","Derek Whitworth","Wholesale"
"1817","2578 BROADWAY GIFT SHOP","undefined","NEW YORK","New York","undefined","ShipStation","Wholesale"
"786","2nd Street Market","undefined","Austin","Texas","undefined","Jared Leuzinger","Wholesale"
"820","3 Monkeys Vape and Smoke #1 Roseville","undefined","Roseville","CA","undefined","Ben Wallner","Wholesale"
"889","3 Monkeys Vape and Smoke #10","undefined","Roseville","CA","undefined","Ben Wallner","Wholesale"
"890","3 Monkeys Vape and Smoke #11","undefined","Rocklin","CA","undefined","Ben Wallner","Wholesale"
"891","3 Monkeys Vape and Smoke #13","undefined","Roseville","CA","undefined","Ben Wallner","Wholesale"
"887","3 Monkeys Vape and Smoke #2","undefined","Roseville","CA","undefined","Ben Wallner","Wholesale"
"888","3 Monkeys Vape and Smoke #6","undefined","Antelope","CA","undefined","Ben Wallner","Wholesale"
"821","3 Monkeys Vape and Smoke #8 Sac","undefined","Sacramento","CA","undefined","Ben Wallner","Wholesale"
"1565","309 Swift Shop","undefined","Coopersburg","PA","undefined","Derek Whitworth","Wholesale"
"92","36 Circles LLC","undefined","Glendale","CA","undefined","Ben Wallner","Wholesale"
"431","360 Smoke Shop","undefined","Dallas","TX","undefined","Jared Leuzinger","Wholesale"
"449","37 Smoke Shop","undefined","New York","NY","undefined","Derek Whitworth","Wholesale"
"1523","3rd Eye | SD","undefined","Sioux Falls","South Dakota","undefined","Brandon Good","Wholesale"
"427","420 Friendlys CBD and Kratom shop","undefined","Greeley","CO","undefined","Brandon Good","Wholesale"
"1176","420 SMOKE SHOP","undefined","SAN JOSE","California","undefined","Ben Wallner","Wholesale"
"1102","420 Smoke Shop | TN","undefined","Hermitage","TN","undefined","Brandon Good","Wholesale"
"1707","4twenty Distro","undefined","Manalapan","New Jersey","undefined","Derek Whitworth","Wholesale"
"1405","5 Star Smoke","undefined","Graham","NC","undefined","Joe Simmons","Wholesale"
"1281","5 Star Tobacco & Vapor Smoke Shop","undefined","Newport News","VA","undefined","Joe Simmons","Wholesale"
"1858","505 Vape World","undefined","Albuquerque","New Mexico","undefined","Jared Leuzinger","Retail"
"1217","540 smoke and vape","undefined","Mount Pleasant","South Carolina","undefined","Kevin","Retail"
"1218","540 smoke and vape/dean","undefined","ladson","SC","undefined","Unassigned","Wholesale"
"758","55 tobacco & vape","undefined","fuquay-varina","NC","undefined","Sergio","Wholesale"
"1308","7 Cities Tobacco and Vape","undefined","Chesapeake","VA","undefined","Joe Simmons","Wholesale"
"1238","7 eleven 17234","undefined","North Bend","OR","undefined","Ben Wallner","Wholesale"
"1237","7 eleven 39207","undefined","Rancho Cordova","CA","undefined","Ben Wallner","Wholesale"
"1743","7 LUCKY FOOD MART","undefined","GRESHAM","OR","undefined","Ben Wallner","Retail"
"492","7-11 Las Vegas - Store # 17262 - Aman","undefined","Las Vegas","NV","undefined","Jared Leuzinger","Wholesale"
"452","7-11 Las Vegas - Store # 29967- Pal","undefined","Las Vegas","NV","undefined","Jared Leuzinger","Wholesale"
"488","7-11 Las Vegas - Store # 38994 - Farhood","undefined","Henderson","NV","undefined","Jared Leuzinger","Wholesale"
"720","777 highway llc","undefined","gledale","CA","undefined","Ben Wallner","Distributor"
"1931","789 Smokeshop (WY)","undefined","Riverton","Wyoming","undefined","Brandon Good","Retail"
"653","7th Avenue Smoke Shop","undefined","Phoenix","AZ","undefined","Jared Leuzinger","Wholesale"
"403","82ND AVE TOBACCO & PIPE","undefined","Portland","OR","undefined","Ben Wallner","Wholesale"
"1730","88 NASSAU MINI MARKET","undefined","NEW YORK","New York","undefined","ShipStation","Wholesale"
"262","A & I Family Wholesale","undefined","Columbus","OH","undefined","mattPeters","Distributor"
"1893","A One Sales LLC","undefined","Everett","WA","undefined","Ben Wallner","Distributor"
"1483","A Puff Above","undefined","North Olmsted","Ohio","undefined","Joe Simmons","Wholesale"
"1532","A to Z Smoke & Convenience","undefined","Huntington","New York","undefined","Derek Whitworth","Wholesale"
"476","A to Z- Wholesale - ED","undefined","Pelham","AL","undefined","admin","Distributor"
"1780","A Tobacco & Vape LLC","undefined","Rochester","Pennsylvania","undefined","Derek Whitworth","Wholesale"
"1782","A Vape Escape","undefined","Sedona","Arizona","undefined","Jared Leuzinger","Retail"
"567","A&H smoke and vape","undefined","Gilbert","AZ","undefined","Jared Leuzinger","Wholesale"
"1806","A&N Smoke Shop","undefined","Phoenix","Arizona","undefined","Jared Leuzinger","Wholesale"
"485","A1 Plus Smoke Shop","undefined","San Jose","CA","undefined","Ben Wallner","Wholesale"
"1228","A1 smoke","undefined","chagrin falls","Ohio","undefined","Sergio","Wholesale"
"662","Aarna Distribution","undefined","Pensacola","FL","undefined","Zalak","Distributor"
"444","Ab's Tobacco & Vape","undefined","Aurora","CO","undefined","Brandon Good","Wholesale"
"1764","ABE’S LIQOUR","undefined","Hermosa Beach","CA","undefined","Ben Wallner","Retail"
"1841","Acadia Canna & Kratom","undefined","Penfield","New York","undefined","Derek Whitworth","Wholesale"
"1559","Ace Wholesale Inc.","undefined","Fife","WA","undefined","Ben Wallner","Distributor"
"1684","Adyah Wholesale","undefined","Easton","Pennsylvania","undefined","Derek Whitworth","Distributor"
"176","AHA! Holisticals","undefined","Davenport","IA","undefined","Jared Leuzinger","Wholesale"
"307","Aim high smoke shop","undefined","Las Vegas","NV","undefined","Jared Leuzinger","Wholesale"
"728","Aimrok Distributors","undefined","olltewah","TN","undefined","Jared","Wholesale"
"874","Aimrok Nashville","undefined","Nashville","TN","undefined","Zalak Zaveri","Wholesale"
"1427","Airavata Vapors LLC","undefined","Mt Pleasant","South Carolina","undefined","Derek Whitworth","Wholesale"
"191","AK Group/puff n stuff","undefined","Drexel Hill","PA","undefined","Derek Whitworth","Wholesale"
"1875","AK SMOKE WORLD","undefined","ANCHORAGE","Alaska","undefined","Brandon Good","Wholesale"
"1734","AL- ASAD TOBACCO SHOP","undefined","ROSEDALE","Maryland","undefined","ShipStation","Wholesale"
"396","Alamogordo Smoke Shop","undefined","Alamogordo","NM","undefined","Jared Leuzinger","Wholesale"
"192","Alan Sheston","undefined","Miami","FL","undefined","admin","Wholesale"
"124","Alaska Pipeline","undefined","Ketchikan","AK","undefined","Brandon Good","Wholesale"
"349","Alaskan Pipeline Juneau","undefined","Juneau","AK","undefined","Brandon Good","Wholesale"
"1408","Alaskan Ventures LLC","undefined","Juneau","AK","undefined","Brandon Good","Wholesale"
"116","Alchemy Within | Shelby Dawn Smith","undefined","ST.George,UT 84790","","undefined","Brandon Good","Wholesale"
"1469","Alcosta on Broadway","undefined","Walnut Creek","CA","undefined","Ben Wallner","Wholesale"
"1468","Alcosta Smoke Shop","undefined","San Ramon","CA","undefined","Ben Wallner","Wholesale"
"84","Ali Baba's Smoke and Vape","undefined","Yakima","WA","undefined","Ben Wallner","Wholesale"
"691","Alisa Ligrani","undefined","Draper","Utah","undefined","SHOPIFY","Retail"
"1722","ALL 5 ELEMENTS KAVA LOUNGE","undefined","LARGO","Florida","undefined","ShipStation","Wholesale"
"807","All Coast Distro","undefined","Cleveland","Ohio","undefined","Jared","Distributor"
"1601","All In One Market LLC | CO","undefined","Fort Collins","CO","undefined","Brandon Good","Wholesale"
"1416","All Pro Cell Phone Repar And Smoke Shop |","undefined","Downers Grove","Illinois","undefined","Brandon Good","Wholesale"
