Product Number,Product Description,Category,Product Type,Size,UOM,Notes
ProductNumber,ProductDescription,Category,ProductType,Size,UOM,Notes
KB-2000,FG-Focus and Flow 2oz,Focus+Flow,Individual,2oz,EA,Single bottle
KB-3000,Focus+Flow 12PK,Focus+Flow,Case Pack,12PK,CS,12-pack case
KB-4000,Focus MC12,Focus+Flow,Master Case,MC12,MC,12 boxes case
KB-2001,Release + Relax 60ml,Release+Relax,Individual,60ml,EA,Single bottle
KB-3001,Release + Relax 12pk,Release+Relax,Case Pack,12PK,CS,12-pack case
KB-4001,Release + Relax MC (12 boxes),Release+Relax,Master Case,MC12,MC,12 boxes case
KB-2002,Zoom 60ml bottle,Zoom,Individual,60ml,EA,Single bottle
KB-3002,Zoom 12PK,Zoom,Case Pack,12PK,CS,12-pack case
KB-4002,Zoom MC (12 boxes),Zoom,Master Case,MC12,MC,12 boxes case
KB-2003,Mango-Tango 15ml 120mg,Mango,Individual,15ml,EA,15ml bottle
KB-3003,Mango-Tango 12pk,Mango,Case Pack,12PK,CS,12-pack case
KB-4003,Mango-Tango MC 12CT,Mango,Master Case,MC12,MC,12-count case
KB-2005,RAW 60 ml single bottle,RAW,Individual,60ml,EA,Single bottle
KB-3005,RAW 12 pk,RAW,Case Pack,12PK,CS,12-pack case
KB-4005,RAW MC (12 count),RAW,Master Case,MC12,MC,12-count case
KB-037,FG-Zoom Citrus 80mg-2 oz Kanva Botanicals,Kit,Acrylic,2oz,EA,Zoom product kit
KB-038,Acrylic Kit- Black( 4 FF 2 Zoom 1 Mango 1 RR),Kit,Acrylic,Mixed,KT,Black display kit
KB-039,Acrylic kit- White(4 FF 2 Zoom 1 RR 1 mango),Kit,Acrylic,Mixed,KT,White display kit
KB-040,Acrylic Kit- Black( 4 FF/acrylic),Kit,Acrylic,4FF,KT,Black Focus+Flow kit
KB-041,Acrylic kit- White(4 FF/acrylic),Kit,Acrylic,4FF,KT,White Focus+Flow kit
KB-1002,208L zoom blend,Zoom,Bulk,208L,LT,Bulk liquid
KB-D001,Cash Deposit,Service,Payment,N/A,EA,Cash deposit
FG-Kanva Mango Extract 120mg,15ml Mango Extract 120mg,Mango,Individual,15ml,EA,15ml extract
FG-MC10-1 kg Green Caps Kanva,MC10-1kg Green Caps Kanva,Raw Material,Bulk,1kg,KG,1kg green capsules
FG-MC10-1 kg Red Powder Kanva,MC10-1kg Red Powder Kanva,Raw Material,Bulk,1kg,KG,1kg red powder
FG-MC12 Mango Extract Shot 120mg,MC12 Mango Extract Shot 120mg,Mango,Case Pack,MC12,MC,12-shot case
FG-MC24 Mango Extract 120mg,MC24 Mango Extract 120mg,Mango,Case Pack,MC24,MC,24-unit case
FG-release+relax,60ml -release+relax,Release+Relax,Individual,60ml,EA,60ml bottle
FG-WL-SPD100,Speed 100 Finished Good,Speed,Individual,N/A,EA,Speed product
GB-006-60ml,2 OZ Glass Powder Coated Green Bottle 20-400,Packaging,Bottle,2oz,EA,Green glass bottle
HubSpot Shipping,HubSpot shipping amount,Service,Shipping,N/A,EA,HubSpot integration
KAVAE-001,30% Kava Extract - KD,Raw Material,Extract,N/A,KG,30% concentration
KE-55,Kanna Ex-Sceletium tortuosum powder extract - 55,Raw Material,Extract,N/A,KG,Sceletium extract
KPW-001,Kratom Kilo (1 each),Raw Material,Bulk,1kg,KG,1 kilogram
Lab Testing Fee,Lab Testing Fee 3rd Party,Service,Fee,N/A,EA,Third-party testing
