Account Number (Fishbowl),Customer Name,Address,City,State,Zip,Current Account Type,Assigned Sales Rep,Action Needed
"","82ND AVE TOBACCO & PIPE","400 SE 82nd Ave","Portland","Oregon","97216","Retail","Ben Wallner","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","A One Sales LLC","10011 3rd Ave","Everett","Washington","98208","Retail","Ben Wallner","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1439","CK Import and Distributing","6649 se Johnson creek blvd","Portland","Oregon","97206","Retail","Ben Wallner","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Honest Inc","1802 Enterprise Blvd","West Sacramento","California","95691","Retail","Ben Wallner","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","KushKlub Munchies & More","1422 !st Ave","Seattle","Washington","98101","Retail","Ben Wallner","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Mary Jane's House of Glass","4225 S Lincoln St  #111","Washougal","Washington","98671","Retail","Ben Wallner","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Millwood Grocery & Spirits | WA","ATTN: Serb, 3409 N Argonne Rd","Millwood","Washington","99212","Retail","Ben Wallner","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Paradox Wilsonville","ATTN: WIll, 8229 C SW Wilsonville Rd","Wilsonville","Oregon","97070","Retail","Ben Wallner","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","RRR Wholesale","270 Cimino St","San Jose","California","95125","Retail","Ben Wallner","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","SAC Valley Vapes LLC","Attn: Whip Distro, 6043 Power INN RD","Sacramento","California","95824","Retail","Ben Wallner","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","SPEEDYS SMOKE AND VAPE SHOP","22812 Palomar Street","Wildomar","California","92595","Retail","Ben Wallner","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Top Notch Smoke Shop","6761 Stanford Ranch Rd","Rocklin","California","95677","Retail","Ben Wallner","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","VOLCANO SMOKE N VAPE","401 WASHINGTON ST","PETALUMA","California","94952","Retail","Ben Wallner","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","woodland distributors","1233 e beamer st Suite E1","woodland","California","95776","Retail","Ben Wallner","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Capones Carterville | IL","ATTN: Blake
110 Plaza Dr","Carterville","Illinois","62918","Retail","Brandon Good","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Elite Smoke And Vape | UT","ATTN: Ted
4453 S Commerce Dr","Murray","Utah","84107","Retail","Brandon Good","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","iCloud Vape and Smoke 5 | Cheyenne","509 W Lincolnway","Cheyenne","Wyoming","82001-4325","Retail","Brandon Good","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Lakeshore Market | ID","9031 Lake Shore Dr","Nampa","Idaho","83686","Retail","Brandon Good","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","The Chronik","46808 w 34th St N","Sioux Falls","South Dakota","57107","Retail","Brandon Good","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Broad Street Liquors","2436 Broad Ave","Timonium","Maryland","21093","Retail","Derek Whitworth","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","EG America","165 Flanders Rd","Westborough","Massachusetts","1581","Retail","Derek Whitworth","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Kadets Glass & Vape","1271 US-22","Lebanon","New Jersey","8833","Retail","Derek Whitworth","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Noreservations","146-33 35th Ave","Flushing","New York","11354","Retail","Derek Whitworth","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Space Smoke Shop","127 Wanaque Ave","Pompton Lakes","New Jersey","7442","Retail","Derek Whitworth","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","The Hemp Social","338 Palisade Ave Ste 254","Jersey City","New Jersey","7307","Retail","Derek Whitworth","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","505 Vape World","2512 san mateo place","Albuquerque","New Mexico","87110","Retail","Jared Leuzinger","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","A Vape Escape","2550 W State Rte 89A #3","Sedona","Arizona","86336","Retail","Jared Leuzinger","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","HAQ Ventures","9705 Burnet Rd STE 503","Austin","Texas","78758","Retail","Jared Leuzinger","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Smokey Trails Smoke Shop LLC","3700 S ELM PL Unit 3700","Broken Arrow","Oklahoma","74011","Retail","Jared Leuzinger","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Stateline Tobacco & Vape","731 Pleasant Hill rd","Nesbit","Mississippi","38651","Retail","Jared Leuzinger","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Tommy's║U Pump It","Post office box 2429","Granbury","Texas","76048","Retail","Jared Leuzinger","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Eros Wholesalers","9811 Woodridge Drive","Eden Prairie","Minnesota","55347","Retail","Joe Simmons","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Lg Mart","1265 S Capitol Blvd, #101","Boise","Idaho","83706","Retail","Robert Farias","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Max Distributing","1601 Westpark Drive, Suite 4C","little rock","Arkansas","72204","Retail","Robert Farias","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Pumpernickel Pops","1660 Ridgewood Ave","Daytona Beach","","32117","Retail","Robert Farias","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","SF Professional Distribution LLC","2350 W Hemingway Blvd","Nampa","Idaho","83651","Retail","Robert Farias","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Shopify Customer","614 W MAIN ST
IN STORE","CHEHALIS","Washington","98532","Retail","Robert Farias","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","WILD SIDE GREELEY-GL2 (CO)","3512-2 W 10th St","Greeley","Colorado","80634","Retail","Robert Farias","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","WILD SIDE TOPEKA-TK (KS)","1634 SW Wasburn Ave","Topeka","Kansas","66604","Retail","Robert Farias","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Supreme Glass Wholesale Inc","1525 S Baker Ave, Unit B","Ontario","California","91761","Retail","Shane Hymas","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"494","#1 Tobacco","1888 SE Sedgwick Rd Suite #104","Port Orchard","Washington","98366","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
